"","matrix.nrow...nrow.hiData..","A.WUHAN.359.1995","A.SYDNEY.5.1997","A.MOSCOW.10.1999","A.FUJIAN.411.2002","A.WISCONSIN.67.2005","A.BRISBANE.10.2007","A.PERTH.16.2009","A.VICTORIA.361.2011","A.SWINE.TEXAS.4199.1.1998","A.SWINE.COLORADO.23619.1999","A.SWINE.MINNESOTA.1146.2006","A.SWINE.IOWA.1700.2007","A.SWINE.MINNESOTA.2782.2009","A.SWINE.ILLINOIS.2970.2009","A.INDIANA.8.2011","A.SWINE.NEWYORK.A01104005.2011","A.SWINE.INDIANA.A00968373.2012","A.SWINE.INDIANA.A01202866.2011","A.SWINE.ILLINOIS.A01201606.2011","A.SWINE.IOWA.A01202613.2011","A.SWINE.IOWA.A01049750.2011","A.SWINE.TEXAS.A01049914.2011","A.SWINE.MICHIGAN.A01432375.2013","A.SWINE.IOWA.A01432500.2013","A.SWINE.MINNESOTA.A01432544.2013","A.SWINE.MINNESOTA.A01280592.2013","A.TURKEY.OHIO.313053.2004","A.SWINE.IOWA.A01480656.2014","A.SWINE.WYOMING.A01444562.2013","A.SWINE.PENNSYLVANIA.A01076777.2010","A.SWINE.MISSOURI.A01410819.2014"
"11","A/SWINE/MINNESOTA/1146/2006",6.35167543828141,NA,6,NA,NA,NA,8.84549005094438,NA,6.59339112279174,NA,NA,1.64768054353155,1.43788684123232,2.56704059272389,4.2203900684253,1.703351313561,3.14600435282361,6.77737986261211,5,2.7132495251924,2.18237674248857,1.83668984297925,NA,5,NA,NA,NA,NA,NA,NA,NA
"12","A/SWINE/IOWA/1700/2007",6.01063852044635,NA,8.73696559416621,NA,NA,NA,NA,NA,6.18400018665403,NA,NA,0,1.27164358241739,1.22917095396751,4.30697775342139,2.06217899125989,4.23871472663838,7.01441905991296,NA,2.99946871844699,2.91253715874966,3.49416484348478,NA,NA,NA,NA,NA,NA,NA,NA,9.73696559416621
"13","A/SWINE/MINNESOTA/2782/2009",4.50367853172646,NA,7.15200309344505,NA,NA,NA,9.92349256294565,NA,3.59903768593288,NA,NA,-0.686681081696237,0,-0.501439145158873,3.31443355834044,0.74774543291945,3.32192809488736,4.56438613927792,4.58496250072116,2.08480838780436,1.22917095396751,1.68893622253556,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","A/SWINE/ILLINOIS/2970/2009",7.08864103244762,NA,8.20645087746743,NA,NA,NA,NA,NA,7.00842862207058,NA,NA,1.99946871844699,1.50002644159622,0,4.81942775435818,4.3327079336406,4.23871472663838,6.51799323379346,NA,3.648513267965,4.9296106721086,5.2867227636143,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","A/SWINE/PENNSYLVANIA/A01076777/2010",5.67360353316878,NA,7.65896308216493,NA,NA,9.20645087746743,7.00595472313762,7.70721825077215,4.68650052718322,NA,NA,-0.186654640100013,0.834851530498028,1.72947105761928,-0.415037499278844,-1.00089469462768,1.4036611357948,4.32192809488736,1.43928504552552,1.02303219021767,1.55705650415127,2.73652568105382,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","A/INDIANA/8/2011",5.93663793900257,NA,6.51457317282976,NA,NA,8.65896308216493,7.7011001416092,7.67807190511264,6.68650052718322,NA,NA,1.58496250072116,1.68668108169624,NA,0,-0.667292066359394,2.05046506698299,6.41238304583287,4.65896308216493,4.26207823985984,4.51457317282976,4.50911518495075,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","A/SWINE/NEWYORK/A01104005/2011",5.55812631574884,NA,7.58496250072116,NA,NA,8.65896308216493,8.5084550636668,8.36773178450049,4.10153802646206,NA,NA,1.49984588708321,2.43878153585999,NA,1.74198366893283,0,1.08687123218026,3.98888396780583,5.20645087746743,2.8502304280198,4.25583890442959,2.93420634889352,NA,4.41503749927884,NA,NA,NA,NA,NA,NA,NA
"18","A/SWINE/INDIANA/A00968373/2012",3.93663793900257,NA,5.81942775435818,8,9.20645087746743,5.91820590883635,7.00595472313762,6.42711033157942,3.03688506811981,NA,NA,1.08480838780436,0.500026441596225,2.41503749927884,0.584962500721156,-1.66729206635939,0,2.99840674192433,1.76733924320973,1.762880292917,1.3275746580285,1.68893622253556,NA,NA,NA,NA,NA,NA,NA,NA,9.73696559416621
"19","A/SWINE/ILLINOIS/A01241469/2012",5.35167543828141,NA,NA,NA,NA,NA,8.18652696877944,6.67807190511264,3.10153802646206,NA,NA,0.499845887083206,1.7714894695006,NA,1.58496250072116,-0.1671379534426,1,4.22931694470249,4.65896308216493,2.91488338636205,2.83007499855769,2.50162064840382,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","A/SWINE/MICHIGAN/A01259000/2012",5.35167543828141,NA,NA,NA,NA,9.73696559416621,8.7714894695006,9.07400058144378,4.83183989034726,NA,NA,1.81334535989999,2.7714894695006,6.15200309344505,1.31256599168367,0.560558342856062,1.58721847466152,2.99840674192433,3.26303440583379,1.91488338636205,2.67807190511264,2.77214959078454,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","A/SWINE/INDIANA/A01202866/2011",6.55812631574884,NA,8.20645087746743,NA,NA,NA,8.84549005094438,9.07400058144378,5.18400018665403,NA,NA,3.26207823985984,3.60156446805829,NA,NA,2.56187888760812,4.32192809488736,0,NA,5.57384646852698,2.91253715874966,3.33919018350844,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","A/SWINE/ILLINOIS/A01201606/2011",NA,NA,NA,NA,NA,NA,6.49350472220083,6.86249647625006,7.34546360934815,NA,NA,2.762880292917,4.00066042346811,4.03652587602511,2.81413345468867,0.247368264283235,2.73696559416621,6.22186113978344,0,1.49984588708321,4.67807190511264,4.18718709006339,NA,NA,NA,NA,NA,NA,NA,NA,8.65896308216493
"23","A/SWINE/IOWA/A01202613/2011",6.55812631574884,8.65184898052826,7.15200309344505,NA,9.73696559416621,NA,7.18652696877944,7.56704059272389,6.52730193233396,NA,NA,0.762880292916998,2.44956137461324,3.23446525363702,3.49749965947082,1.56187888760812,3.32192809488736,5.91488338636205,3,0,1.7635073816187,3.6846867495342,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","A/SWINE/IOWA/A01202889/2011",NA,NA,7.58496250072116,NA,NA,NA,7.18652696877944,7.05514155419246,7.30798890392949,NA,NA,1,2.27164358241739,2.22389601192684,2.58496250072116,0.332707933640606,4.05139915250664,7.01441905991296,1.31443355834044,1,2.76733924320972,3.94433056616722,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","A/SWINE/IOWA/A01203196/2012",2.84917509775223,NA,NA,NA,NA,NA,9.92349256294565,NA,4.50063398187188,NA,NA,3.762880292917,4.18652696877944,3.23446525363702,NA,5.56717318727763,6.08926733809709,3.76378225921139,4.32192809488736,2.99946871844699,2.41503749927884,3.827291144977,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","A/SWINE/IOWA/A01049750/2011",3.35167543828141,7.23681148124941,5.30697775342139,NA,8.58496250072116,8,8.7714894695006,10.152003093445,2.94953493301701,NA,NA,0.499845887083206,0.500026441596225,2.41503749927884,3.58496250072116,0.0612449057362312,2.38529015588479,3.41450621772583,4.65896308216493,2.08480838780436,0,0.187187090063388,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","A/SWINE/TEXAS/A01049914/2011",3.50367853172646,NA,5.49749965947082,NA,NA,9.73696559416621,9.92349256294565,9.62148837674627,3.03688506811981,NA,NA,0.499845887083206,0.771489469500599,2.41503749927884,3.58496250072116,0.74774543291945,2.73696559416621,3.56203071827979,5.20645087746743,2.08480838780436,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","A/SWINE/ILLINOIS/A01241066/2012",3.35167543828141,NA,6.58496250072116,NA,NA,9.73696559416621,8.84549005094438,10.152003093445,3.10153802646206,NA,NA,0.499845887083206,0.771489469500599,2.06454025219471,2.58496250072116,0.74774543291945,2.73696559416621,3.91488338636205,4.65896308216493,2.81241187876688,0.415037499278844,0.499753081747057,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","A/SWINE/NEBRASKA/A01241171/2012",2.84917509775223,NA,6.51457317282976,6.9296106721086,8.58496250072116,9.20645087746743,9.92349256294565,NA,4.68650052718322,NA,NA,6.25698936318704,6.49350472220083,NA,5.58496250072116,6.40670851508438,9.47393118833241,8.57384646852698,NA,9.23681148124941,3.18237674248857,6.92415268422959,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","A/SWINE/IOWA/A01203121/2012",4.35167543828141,NA,6.58496250072116,NA,NA,9.73696559416621,9.92349256294565,NA,3.53539940003256,NA,NA,1.08480838780436,1,3.23446525363702,3.08671163319333,1.33270793364061,3.55109904885487,4.76649154646938,5.20645087746743,2.99946871844699,0.415037499278844,0.499753081747057,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","A/SWINE/IOWA/A01300195/2012",7.08864103244762,NA,NA,9.15200309344505,7,3.14866738088179,4.7714894695006,4.06218483119658,5.99347828060461,NA,NA,2.49984588708321,2.50002644159622,5.62148837674627,2.08671163319333,-0.438781535859993,1.73696559416621,3.91488338636205,1.14533936316404,1.762880292917,2.06454025219471,2.60222458934223,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","A/SWINE/MINNESOTA/A01125993/2012",3.76671293756026,7.57384646852698,NA,8.62148837674627,NA,6.60310984743141,6.18652696877944,7.41503749927884,5.27146302790437,NA,NA,4.58655752027654,5.68402662825026,NA,4.26303440583379,2.3327079336406,5.5458241068142,5.4998458870832,5.73696559416621,4.91488338636205,3.91253715874966,4.80867546680966,NA,NA,NA,NA,NA,NA,NA,NA,NA
