seq	rf	ada	mlp	ens	rfstd	adastd	mlpstd	ensstd
a/swine/illinois/a01462475/2015	0.6591	0.7538	0.5135	0.5958	0.7996	0.9811	0.6445	0.7466
a/swine/indiana/a01812162/2016	0.7145	0.5679	0.6804	0.553	0.692	0.6152	0.7446	0.584
a/swine/illinois/a01475803/2014	0.7876	0.8279	1.1022	0.7853	1.002	1.042	1.0175	0.9752
a/swine/minnesota/a01480518/2014	0.8865	0.8808	0.9092	0.8816	0.7469	0.7383	0.6563	0.6837
a/swine/north_carolina/a01476722/2014	0.744	0.7988	0.9842	0.8187	0.9087	0.9917	0.9797	0.9057
a/swine/indiana/a01260268/2013	0.6779	0.7308	1.1513	0.8456	0.9229	0.9555	1.01	0.8983
a/swine/minnesota/a01049936/2011	0.9454	1.0364	0.898	0.9291	0.9891	1.1704	1.0659	0.9547
a/swine/minnesota/a01277201/2012	0.8181	1.0708	0.565	0.6887	1.0467	1.1601	0.7843	0.84
a/swine/north_carolina/a01730588/2016	0.7822	1.0382	0.8861	0.8699	0.6937	1.0047	0.8565	0.7559
a/swine/iowa/a01730108/2016	0.435	0.45	0.4712	0.412	0.5651	0.6905	0.5723	0.5697
a/swine/minnesota/a01471950/2015	1.0482	0.825	1.0259	0.93	0.8437	1.0324	1.195	0.9238
a/swine/oklahoma/a01776961/2016	1.344	1.4639	1.7925	1.4641	1.0469	1.3401	0.7282	0.9635
a/swine/north_carolina/a01732564/2016	0.5135	0.5	0.5807	0.5069	0.5896	0.5791	0.6372	0.5813
a/swine/iowa/a01729543/2016	0.6618	0.7192	0.9208	0.6954	0.977	1.1861	0.9441	0.926
a/swine/nebraska/a01478775/2015	0.8512	0.9244	0.7817	0.8412	0.8993	1.0145	0.8856	0.9112
a/swine/illinois/a01555638/2015	1.4923	1.4744	1.6605	1.5424	0.7344	0.8455	0.8223	0.7625
